Account,Amount,Counterparty,Tags,Date,Location
Joint Account,345.57,Grab,"Groceries, Transportation, Dining, Entertainment",2022-11-28,Singapore
Checking,448.35,Walmart,Entertainment,2022-11-26,Indonesia
Checking,61.99,Uber,Travel,2022-12-02,Japan
Joint Account,539.91,Starbucks,"Groceries, Travel, General Expenses",2022-07-30,Japan
Joint Account,333.85,Gojek,"Dining, Transportation, Travel",2022-10-25,Australia
Savings,551.99,Starbucks,"Groceries, Entertainment, Dining, General Expenses",2022-10-27,Singapore
Savings,572.91,ACME,Travel,2022-09-24,Japan
Checking,298.93,Amazon,"General Expenses, Entertainment, Groceries, Dining",2022-10-07,Australia
Savings,531.22,Starbucks,"Groceries, Dining, General Expenses",2022-12-13,Singapore
Savings,403.84,Google,"General Expenses, Groceries, Transportation, Dining, Travel",2022-09-01,Australia
Checking,49.1,Amazon,"Entertainment, General Expenses, Groceries, Transportation, Dining",2022-11-13,Indonesia
Joint Account,816.21,Amazon,"General Expenses, Dining, Groceries, Travel, Entertainment",2022-08-12,Australia
Savings,147.48,Gojek,"Groceries, Dining, Entertainment, General Expenses, Transportation, Travel",2022-12-07,Japan
Checking,953.51,Fairprice,"General Expenses, Groceries, Dining",2022-06-25,Japan
Checking,998.77,ACME,"Dining, Entertainment, Groceries, Travel, General Expenses",2022-11-17,Singapore
Checking,417.39,Uber,"Dining, Groceries, Transportation, General Expenses",2022-08-29,Indonesia
Savings,463.47,ACME,"General Expenses, Dining, Groceries, Transportation, Travel",2022-12-17,Singapore
Savings,694.44,Gojek,"Entertainment, Travel, Groceries, Transportation, Dining",2022-07-10,Australia
Checking,874.88,Gojek,Travel,2022-12-24,Indonesia
Checking,471.09,Starbucks,Transportation,2022-07-27,Japan
Savings,166.16,Gojek,"Transportation, Entertainment, General Expenses",2022-06-05,Japan
Savings,856.95,Uber,"Transportation, Groceries, General Expenses, Travel, Entertainment, Dining",2022-11-12,Japan
Joint Account,922.14,Uber,"Entertainment, Groceries, General Expenses, Transportation, Travel, Dining",2022-08-26,Japan
Savings,629.68,Walmart,"Groceries, General Expenses, Dining",2022-09-21,Japan
Checking,817.53,Walmart,"General Expenses, Transportation, Travel",2022-11-06,Singapore
Savings,687.02,Walmart,"Entertainment, Travel, Dining, Transportation, Groceries, General Expenses",2022-08-18,Indonesia
Savings,320.08,Fairprice,"General Expenses, Transportation, Travel",2022-12-03,Singapore
Checking,227.2,Starbucks,"General Expenses, Dining, Transportation",2022-06-12,Singapore
Checking,955.34,Fairprice,"Entertainment, Travel, General Expenses, Groceries",2022-08-31,Australia
Savings,8.43,Walmart,"Dining, Transportation",2022-10-29,Singapore
Savings,259.6,Google,"Dining, Travel, Groceries, General Expenses",2022-07-11,Australia
Checking,645.69,Gojek,"Travel, Dining, Groceries, Transportation, General Expenses",2022-10-13,Japan
Joint Account,948.76,Uber,"Entertainment, General Expenses, Transportation, Dining",2022-06-02,Indonesia
Joint Account,735.62,Uber,"Travel, Dining, General Expenses",2022-10-08,Singapore
Savings,123.49,Grab,"Transportation, Groceries",2022-08-22,Singapore
Joint Account,17.28,ACME,"Transportation, Dining, Groceries, Entertainment, General Expenses",2022-10-13,Japan
Savings,124.33,Amazon,Dining,2022-12-09,Singapore
Joint Account,642.69,Starbucks,"Transportation, Travel, Groceries, Dining, Entertainment",2022-06-16,Australia
Savings,11.14,Walmart,"General Expenses, Transportation, Groceries",2022-11-04,Australia
Joint Account,433.28,ACME,"General Expenses, Dining, Groceries, Entertainment, Transportation",2022-08-30,Indonesia
Joint Account,362.8,Uber,"General Expenses, Dining",2022-11-26,Japan
Savings,836.9,ACME,"General Expenses, Entertainment, Dining",2022-06-23,Singapore
Checking,924.9,Google,"Dining, Transportation, Groceries",2022-10-30,Indonesia
Joint Account,609.12,Starbucks,"Transportation, Entertainment, Travel, Groceries, General Expenses, Dining",2022-09-07,Japan
Checking,468.93,Uber,"Transportation, Travel, Groceries, General Expenses",2022-06-11,Japan
Checking,153.5,Grab,"General Expenses, Travel, Transportation, Entertainment, Dining, Groceries",2022-12-23,Indonesia
Checking,648.29,Fairprice,"Groceries, Entertainment, Travel, Transportation",2022-10-17,Indonesia
Checking,184.95,Uber,Groceries,2022-12-01,Japan
Joint Account,375.93,Fairprice,"General Expenses, Travel, Entertainment, Transportation, Groceries, Dining",2022-08-09,Indonesia
Joint Account,269.56,Google,"General Expenses, Dining, Travel, Entertainment",2022-11-14,Australia
Checking,659.34,Amazon,"General Expenses, Dining, Travel, Groceries, Entertainment",2022-12-13,Singapore
Savings,179.06,Uber,"Transportation, Entertainment",2022-10-23,Indonesia
Joint Account,127.91,Gojek,"General Expenses, Groceries, Travel, Dining, Entertainment, Transportation",2022-10-13,Japan
Joint Account,224.09,Starbucks,"Travel, General Expenses, Dining, Groceries, Transportation",2022-06-20,Indonesia
Joint Account,685.87,Fairprice,"Transportation, Groceries",2022-08-07,Singapore
Savings,222.41,Starbucks,"Groceries, Dining, Entertainment, Transportation",2022-12-10,Singapore
Joint Account,6.39,Fairprice,"General Expenses, Dining, Groceries, Entertainment",2022-08-08,Indonesia
Checking,682.37,Walmart,"General Expenses, Groceries, Transportation, Entertainment, Dining, Travel",2022-12-16,Japan
Checking,220.0,Grab,Entertainment,2022-10-04,Japan
Savings,716.88,Walmart,"Transportation, Dining",2022-09-12,Indonesia
Savings,980.2,Walmart,Entertainment,2022-07-05,Japan
Joint Account,837.64,Gojek,Entertainment,2022-09-23,Singapore
Joint Account,333.33,Fairprice,"General Expenses, Travel",2022-07-05,Australia
Checking,413.65,Amazon,"General Expenses, Entertainment, Groceries, Travel",2022-07-08,Australia
Joint Account,801.63,Gojek,"General Expenses, Groceries, Transportation, Dining, Entertainment, Travel",2022-10-31,Australia
Checking,506.24,Grab,"General Expenses, Transportation, Dining, Groceries, Entertainment",2022-11-30,Indonesia
Savings,916.74,Fairprice,"General Expenses, Transportation, Entertainment, Dining",2022-11-20,Australia
Checking,930.31,Gojek,"Transportation, Travel, Entertainment, Dining, Groceries, General Expenses",2022-07-23,Australia
Checking,814.1,Amazon,"Transportation, Dining",2022-09-30,Australia
Checking,7.6,Gojek,"Travel, Groceries, Transportation",2022-08-06,Australia
Savings,82.6,Amazon,Entertainment,2022-11-18,Australia
Checking,19.61,Uber,Dining,2022-06-14,Singapore
Savings,656.17,Starbucks,"Dining, Travel, Groceries",2022-07-16,Indonesia
Savings,869.09,Amazon,"Travel, General Expenses, Entertainment, Transportation",2022-09-17,Japan
Savings,319.62,ACME,"Travel, Transportation",2022-06-26,Australia
Checking,220.14,Grab,"Travel, Groceries, General Expenses, Transportation",2022-09-10,Japan
Joint Account,980.77,Google,"General Expenses, Groceries, Travel",2022-09-27,Australia
Savings,105.27,Google,"Entertainment, General Expenses, Groceries, Travel",2022-11-29,Australia
Savings,411.51,Grab,"Groceries, Travel, Dining, Transportation, General Expenses, Entertainment",2022-06-03,Indonesia
Checking,347.66,ACME,"Transportation, Entertainment, Dining, Travel, Groceries",2022-09-24,Singapore
Checking,844.67,Amazon,Entertainment,2022-06-09,Singapore
Checking,931.04,Gojek,Transportation,2022-09-08,Australia
Checking,940.75,Uber,"Dining, Transportation, Travel, General Expenses",2022-12-18,Japan
Checking,666.44,Amazon,"Dining, Travel, Transportation, General Expenses, Entertainment, Groceries",2022-07-03,Indonesia
Checking,143.47,Amazon,"Dining, Transportation, General Expenses, Travel, Groceries",2022-11-05,Australia
Savings,246.3,Google,Travel,2022-12-11,Indonesia
Checking,266.67,Fairprice,"Groceries, Travel, Dining",2022-06-23,Japan
Savings,439.9,Starbucks,"Entertainment, Transportation, General Expenses, Travel",2022-10-10,Japan
Savings,500.69,Uber,"Dining, General Expenses, Groceries, Travel, Transportation",2022-12-19,Australia
Checking,647.87,Walmart,"Entertainment, Transportation, Dining, Travel, Groceries, General Expenses",2022-08-07,Singapore
Checking,347.47,Amazon,"General Expenses, Dining, Groceries, Travel, Entertainment, Transportation",2022-12-07,Indonesia
Savings,96.42,Google,"Travel, Entertainment, Groceries",2022-08-01,Indonesia
Checking,582.8,Starbucks,"Entertainment, Groceries, Travel, Transportation, Dining",2022-10-02,Indonesia
Checking,79.26,ACME,Transportation,2022-09-07,Indonesia
Joint Account,202.18,Gojek,"General Expenses, Groceries, Travel",2022-12-29,Australia
Joint Account,14.75,Fairprice,"Travel, Dining, Groceries, Transportation, Entertainment, General Expenses",2022-07-13,Japan
Savings,797.62,Google,"General Expenses, Entertainment, Travel, Transportation, Groceries, Dining",2022-08-16,Japan
Savings,166.86,Amazon,"Transportation, Dining, Travel, General Expenses, Entertainment",2022-06-06,Singapore
Checking,835.88,ACME,"Entertainment, Dining, General Expenses, Travel, Groceries",2022-08-02,Australia
Savings,930.15,Uber,"Entertainment, General Expenses, Transportation, Groceries, Dining, Travel",2022-11-23,Indonesia
Savings,569.77,Google,"Dining, Entertainment",2022-10-03,Japan
Checking,768.97,Grab,"Entertainment, Dining, General Expenses, Travel, Groceries",2022-07-25,Australia
Checking,299.03,Walmart,"Travel, Dining, Transportation, Groceries",2022-11-30,Indonesia
Checking,388.39,Grab,"Groceries, Dining, General Expenses, Entertainment, Transportation",2022-07-10,Singapore
Savings,351.97,Uber,Entertainment,2022-10-11,Japan
Joint Account,184.48,Gojek,"Dining, Entertainment, General Expenses, Transportation",2022-10-21,Singapore
Checking,151.11,Grab,"Transportation, General Expenses, Groceries, Entertainment, Travel, Dining",2022-12-07,Japan
Checking,825.59,Uber,"Entertainment, General Expenses, Travel, Dining, Transportation",2022-08-11,Indonesia
Checking,105.75,Uber,"Groceries, Travel, Entertainment, General Expenses, Transportation",2022-06-28,Indonesia
Joint Account,470.98,Walmart,"Dining, Transportation",2022-12-09,Indonesia
Savings,5.25,Google,"General Expenses, Entertainment, Groceries",2022-11-25,Indonesia
Joint Account,848.34,Amazon,"Entertainment, Dining, Transportation",2022-10-31,Australia
Joint Account,182.18,Walmart,"Travel, Entertainment, Groceries",2022-12-20,Indonesia
Checking,819.38,Uber,"Dining, Entertainment",2022-08-27,Australia
Savings,557.37,Starbucks,General Expenses,2022-10-26,Indonesia
Checking,569.8,Walmart,Groceries,2022-07-02,Indonesia
Joint Account,459.92,Google,Transportation,2022-08-05,Japan
Checking,359.4,ACME,"Travel, General Expenses, Dining",2022-09-16,Indonesia
Joint Account,831.26,Gojek,"Dining, Travel",2022-08-22,Indonesia
Savings,148.26,Gojek,"Groceries, Entertainment, Travel, General Expenses, Transportation, Dining",2022-06-04,Indonesia
Joint Account,323.87,Starbucks,"Groceries, Dining, General Expenses, Travel, Transportation, Entertainment",2022-08-02,Indonesia
Savings,865.44,Fairprice,Groceries,2022-06-23,Indonesia
Joint Account,280.2,Gojek,"Transportation, General Expenses",2022-12-23,Singapore
Savings,562.21,Starbucks,Transportation,2022-08-05,Singapore
Checking,28.77,Grab,General Expenses,2022-08-26,Singapore
